ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0007059,chromosome segregation,405,-0.47095020114059605,-2.6641829180745,1.0092393057494413e-28,1.6336038384144336e-26,9.411910225452827e-27,4670,"tags=54%, list=29%, signal=39%",BRCA1/TACC3/TERF1/NSMCE2/DYNC1H1/PUM1/PSMC3IP/CLASP1/CHMP7/BEX4/NIPBL/MIS18A/TUBGCP6/STAG1/HAUS5/CHAMP1/PPP2R1A/HAUS1/TOP3B/ANAPC1/BAG6/CHEK2/NUP43/NUSAP1/CENPT/VPS4A/DDB1/ANKRD31/UVRAG/ABRAXAS2/CENPK/CDC23/TENT4A/FBXO30/NDE1/PIBF1/DIS3L2/TUBB/TUBGCP4/ANAPC7/TUBGCP3/MSH5/MTCL1/OIP5/CENPL/ZWILCH/ZW10/CUL3/LATS1/CDK5RAP2/CENPM/AKAP8L/NCAPH2/KNTC1/PINX1/NCAPG2/ARID2/SKA2/SPC25/KIF23/BCCIP/NSL1/CEP192/CDC20/CENPN/SMARCC2/RCC1/SIRT1/CENPP/CENPC/RAD18/SMC1A/CCNB1/SMC6/CDT1/SKA1/AAAS/CCNE2/KIF25/PUM2/CENPW/SENP6/KIF4A/PTTG1/CDK1/AURKA/KIF18A/CDC6/TNKS/SGO2/ARID1A/MEIOC/ZWINT/TEX14/ARID1B/PLK1/SMC4/FAM83D/HNRNPU/SASS6/MAD2L1BP/SMARCB1/TOP3A/MLH1/ACTL6A/DCAF13/GEN1/STIL/CENPI/AGO4/HAUS8/CENPE/HJURP/SMARCE1/PPP2R2A/MCMDC2/CENPH/ANAPC5/HAUS3/ZNF207/NDC80/TRIP13/CSNK2A1/DIAPH3/MRE11/BIRC5/NUF2/SKA3/MTCL2/CCNB2/CCDC66/NDC1/UBE2C/BUB1/NCAPD3/MKI67/CEP63/SMC3/SMARCA5/CCNB1IP1/KATNB1/TPX2/NCAPG/UHRF1/BUB3/EHMT2/FBXO5/MAD2L2/FIRRM/DLGAP5/CDCA2/RACGAP1/NEK2/CDCA8/CEP85/NCAPD2/SYCE2/TLK2/PBRM1/MYBL2/KNSTRN/BUB1B/INCENP/PRC1/CENPU/RAD21/SPC24/BRD7/REC8/SMARCD1/KIF18B/MAD2L1/KIF11/DYNC1LI1/KIF14/SMC2/ASPM/CENPF/RCC2/ESPL1/PPP2R2D/ESCO2/KIF2C/KNL1/BRIP1/TTK/KIFC1/AURKB/TOP2A/CENPO/SPDL1/NCAPH/SMARCA4/HASPIN/SPAG5/HAUS6/SGO1/SMARCAD1/USP44/ECT2/SRPK1/STAG3/KIF15/CCSAP/GPSM2/FANCD2/CTCF/KIF22/DPF1/SMARCC1/KIF2A/ACTL6B/CEP97/SIRT2/CLASP2/TOP2B/CPAP/DCTN2/BCL7A
GO:0098813,nuclear chromosome segregation,297,-0.4852186791032163,-2.6491012065149073,1.7350561183597365e-23,1.5509329989338003e-21,8.935607157868369e-22,3472,"tags=46%, list=21%, signal=37%",ZWILCH/ZW10/CUL3/LATS1/CDK5RAP2/AKAP8L/NCAPH2/KNTC1/PINX1/NCAPG2/ARID2/SKA2/SPC25/KIF23/BCCIP/NSL1/CEP192/CDC20/SMARCC2/RCC1/SIRT1/CENPC/SMC1A/CCNB1/CDT1/SKA1/AAAS/CCNE2/KIF25/KIF4A/PTTG1/CDK1/AURKA/KIF18A/CDC6/ARID1A/MEIOC/ZWINT/TEX14/ARID1B/PLK1/SMC4/FAM83D/HNRNPU/MAD2L1BP/SMARCB1/MLH1/ACTL6A/DCAF13/GEN1/CENPI/AGO4/CENPE/SMARCE1/MCMDC2/ANAPC5/ZNF207/NDC80/TRIP13/MRE11/BIRC5/NUF2/SKA3/CCNB2/CCDC66/NDC1/UBE2C/BUB1/NCAPD3/SMC3/SMARCA5/CCNB1IP1/KATNB1/TPX2/NCAPG/UHRF1/BUB3/EHMT2/FBXO5/MAD2L2/DLGAP5/RACGAP1/NEK2/CDCA8/NCAPD2/SYCE2/PBRM1/MYBL2/KNSTRN/BUB1B/INCENP/PRC1/RAD21/SPC24/BRD7/REC8/SMARCD1/KIF18B/MAD2L1/KIF11/DYNC1LI1/KIF14/SMC2/ASPM/CENPF/RCC2/ESPL1/KIF2C/KNL1/BRIP1/TTK/KIFC1/AURKB/TOP2A/SPDL1/NCAPH/SMARCA4/HASPIN/SPAG5/SGO1/USP44/ECT2/STAG3/KIF15/CCSAP/FANCD2/KIF22/DPF1/SMARCC1/KIF2A/ACTL6B/CEP97/SIRT2/CLASP2/TOP2B/DCTN2/BCL7A
GO:0000819,sister chromatid segregation,228,-0.5159526061458432,-2.73507038362585,2.4373457393851174e-21,1.7587064618286105e-19,1.0132681463163495e-19,3472,"tags=50%, list=21%, signal=39%",ZWILCH/ZW10/CUL3/LATS1/CDK5RAP2/AKAP8L/NCAPH2/KNTC1/PINX1/NCAPG2/ARID2/SKA2/SPC25/KIF23/BCCIP/NSL1/CEP192/CDC20/SMARCC2/RCC1/SIRT1/CENPC/SMC1A/CCNB1/CDT1/SKA1/AAAS/KIF25/KIF4A/CDK1/KIF18A/CDC6/ARID1A/ZWINT/TEX14/ARID1B/PLK1/SMC4/HNRNPU/MAD2L1BP/SMARCB1/ACTL6A/GEN1/CENPI/CENPE/SMARCE1/ANAPC5/ZNF207/NDC80/TRIP13/BIRC5/NUF2/SKA3/CCDC66/UBE2C/BUB1/NCAPD3/SMC3/SMARCA5/KATNB1/TPX2/NCAPG/UHRF1/BUB3/FBXO5/MAD2L2/DLGAP5/RACGAP1/NEK2/CDCA8/NCAPD2/PBRM1/MYBL2/KNSTRN/BUB1B/INCENP/PRC1/RAD21/SPC24/BRD7/SMARCD1/KIF18B/MAD2L1/KIF11/DYNC1LI1/KIF14/SMC2/CENPF/ESPL1/KIF2C/KNL1/TTK/KIFC1/AURKB/TOP2A/SPDL1/NCAPH/SMARCA4/HASPIN/SPAG5/USP44/KIF15/CCSAP/KIF22/DPF1/SMARCC1/KIF2A/ACTL6B/CEP97/CLASP2/TOP2B/DCTN2/BCL7A
GO:0000280,nuclear division,403,-0.4154667795072413,-2.345673796193311,3.678292185257594e-20,2.4476990997230815e-18,1.4102271091548999e-18,4648,"tags=50%, list=29%, signal=37%",TERF1/NSMCE2/NME6/TGFA/KCTD19/PSMC3IP/CLASP1/MTBP/CHMP7/NIPBL/STAG1/CHAMP1/PPP2R1A/PRMT5/MARF1/BAG6/FZR1/CHEK2/NUSAP1/VPS4A/UBXN2B/DDB1/ANKRD31/ABRAXAS2/CENPK/CDC23/TENT4A/CYP26B1/IGF2/NDE1/PIBF1/CKS2/RGCC/DIS3L2/ANAPC7/MSH5/RANBP1/ORC4/ZSCAN21/KIF20B/ERCC4/CDC14B/ZWILCH/LRP5/ZW10/CUL3/SPIRE2/CDK5RAP2/TOP6BL/L3MBTL1/AKAP8L/NCAPH2/KNTC1/PINX1/NCAPG2/SKA2/SPC25/KIF23/BCCIP/NSL1/CEP192/CDC20/FIGNL1/RCC1/SIRT1/CENPC/SMC1A/CDC14C/CCNB1/CDT1/SKA1/AAAS/CCNE2/KIF25/CDKN1B/RAD54B/KIF4A/PTTG1/CDK1/AURKA/BORA/KIF18A/MEIOC/ZWINT/CHEK1/BRCA2/FANCA/TEX14/PLK1/SMC4/HNRNPU/MAD2L1BP/MLH1/DCAF13/PHIP/GEN1/CENPI/AGO4/CENPE/SLX4/MCMDC2/ANAPC5/RAD51C/ZNF207/NDC80/TRIP13/MRE11/BIRC5/MYBL1/NUF2/SKA3/CCNB2/CDKN1C/BRME1/CCDC66/NDC1/UBE2C/BUB1/NCAPD3/MKI67/SMC3/SMARCA5/CCNB1IP1/HOXA13/KATNB1/TPX2/NCAPG/UHRF1/RAD51/BUB3/EHMT2/FBXO5/MAD2L2/DLGAP5/KLHDC3/CDCA2/RACGAP1/NEK2/CDCA8/CEP85/RAD51AP1/NCAPD2/SYCE2/RAD1/MYBL2/KNSTRN/FANCM/BUB1B/INCENP/PRC1/RAD21/SPC24/REC8/KIF18B/MASTL/MAD2L1/KIF11/RAD54L/DYNC1LI1/KIF14/SMC2/ASPM/ANKLE1/CENPF/UBE2S/ESPL1/PPP2R2D/KIF2C/KNL1/BRIP1/TTK/KIFC1/AURKB/CDC25C/TOP2A/SPDL1/NCAPH/PKMYT1/EME1/PDXP/HASPIN/SPAG5/SGO1/HFM1/USP44/STAG3/KIF15/NPM2/CCSAP/FANCD2/KIF22/TDRKH/KIF2A/PLCB1/SPAST/CEP97/SIRT2/NFIB/CLASP2/TOP2B/DCTN2/SMPD3
GO:0006397,mRNA processing,474,-0.398116067492602,-2.2834655930578,7.03985626991077e-20,4.582793391358217e-18,2.640348838989417e-18,6180,"tags=56%, list=38%, signal=36%",SRSF6/RNF113A/CSTF2/RBM39/STRAP/INTS15/PDE12/SF3A2/CELF1/PAPOLA/RBM25/ZC3H14/RBM19/TUT1/ARGLU1/LSM2/TBRG4/ECD/PPP4R2/DDX39B/SF3B2/AQR/PRPF40B/THOC6/PQBP1/SDE2/APOBEC4/CIRBP/NRDE2/HABP4/THUMPD2/RBM17/HNRNPM/HTATSF1/CDK11A/PAN3/DDX17/DDX5/WDR83/HNRNPA3/CPSF7/FMR1/SNRPC/SNRPB/RPUSD2/TSEN15/CPSF1/CLNS1A/LSM4/SART1/ZC3H13/ESRP2/SNRPN/CSTF1/DDX39A/FRG1/BARD1/CWC27/FASTKD5/CWC22/PRP4K/HNRNPUL1/GEMIN6/IWS1/DHX8/PPIL2/PUS7/PRPF4/ZPR1/RPUSD3/C1QBP/SNRNP48/PRMT9/DHX38/RBM41/CDK12/RBM28/RBFOX3/ACIN1/SRSF1/DYRK1A/CWF19L2/PRPF6/KHDRBS1/DHX35/METTL16/PRPF8/SNRNP200/PRPF38A/PAPOLB/PPWD1/UPF3A/XAB2/SNRNP40/METTL14/PNN/PUS7L/PCF11/PPIH/PRPF39/SNRPA/PRMT5/RBM15/RSRC1/SAFB/THOC3/SF3B1/CCAR2/SRSF8/ZNF830/TENT4A/WDR77/HNRNPA0/CELF2/RNMT/GEMIN5/CRNKL1/SRSF7/TXNL4A/PNPT1/PRPF40A/PPIL1/APOBEC2/CNOT6L/CD2BP2/RPRD2/LUC7L3/RBMXL1/PAN2/YJU2/SUGP1/CHD8/AFF2/ZNF473/GCFC2/ESS2/GPATCH1/PAXBP1/WDR33/NOVA2/TRMT6/SYNCRIP/SRSF3/HNRNPK/DBR1/SRSF10/RNPS1/GPATCH8/THOC1/RBM6/LUC7L/SNRPD1/DDX20/DHX40/TRMT61B/AKAP8L/YBX1/DUS3L/NCBP3/ALYREF/KAT8/PUF60/RBFOX1/CSTF3/HNRNPA1L2/SNRNP35/PSIP1/KHDC4/TTF2/CDC40/RBM5/SFSWAP/PRPF3/STH/TRUB1/CWF19L1/RNPC3/RBM8A/CCNB1/SART3/PABPN1/ADARB2/RBBP6/RBM23/LSM7/CRIPT/SUGP2/HNRNPC/PRMT7/RRP1B/PRPF18/HNRNPA1/LSM8/CASC3/ZNF326/ANGEL2/HNRNPU/CDC5L/YTHDC1/QKI/TSEN54/TGS1/SRPK3/KIN/THOC5/VIRMA/RBM10/EXOSC10/BUD13/RBM15B/RBM14/METTL3/MTREX/CPSF3/DDX46/HNRNPLL/CSTF2T/SMU1/NONO/SF3B3/ARVCF/GEMIN2/HNRNPH1/NCBP1/CSDC2/NUDT21/SRPK2/TSEN2/TIA1/HNRNPL/RBM4/DHX15/RBFOX2/TRA2B/FIP1L1/RPUSD4/SRRM4/TRUB2/RPRD1A/GEMIN4/COIL/ILF3/HNRNPR/DHX36/TCERG1/CELF4/PCBP4/KHDRBS3/LSM11/SRPK1/DHX9/NOVA1/RNGTT/RBM4B/KHDRBS2/SRSF12/SNRPD3/SFPQ/MTPAP/CPSF6/CELF5/CELF3/RBMX/PTBP2/ELAVL4/USP49
GO:0071824,protein-DNA complex organization,230,-0.4920834447082907,-2.6076709123308577,4.624803785704664e-19,2.7154852816260034e-17,1.5645105066604632e-17,5622,"tags=64%, list=35%, signal=43%",NAP1L2/H2BC14/SMYD3/H4C9/H4C4/TSPYL2/TAF1B/H4C2/MED28/HIRA/CABIN1/ITGB3BP/MIS12/NAP1L1/BDP1/TAF7L/TSPYL1/MED19/HMGB1/HMBOX1/H1-4/H3C8/H2BC6/H2BC13/H3C7/TAF4/RAD52/TERF1/H3C11/TBP/MIS18A/TAF3/PSMC6/MED23/H4C5/CENPT/H3C3/H2BC4/H4C1/CENPA/H2BC3/CENPK/H2BC9/H1-5/H3C1/H3C15/MED6/H4C3/ATAD2B/H3C12/MYC/H3C13/CAND1/UBTF/H3C10/H2AX/SETD2/H3C2/SSRP1/H4C8/OIP5/HEY2/H4C11/H4C12/NASP/H4C14/KNTC1/SHPRH/ARID2/H2BC8/KAT6A/H3C14/POLR1E/TAF11/LIN54/MED30/CENPN/SMARCC2/H1-10/CENPP/CENPC/H2BC17/H2BC7/CDT1/SART3/BAZ1A/MED27/HP1BP3/GTF2A1/H3C6/HMGB2/ASF1A/H1-2/CENPW/SENP6/BRF1/CREB1/THRA/H2BC11/SUGT1/ARID1A/MED24/H2BC15/MCM2/TAF2/MED20/SMARCB1/SUPT16H/CENPI/MED17/H4C15/CENPE/HJURP/SMARCE1/DNAJC9/MCMDC2/CENPH/MED1/RAD51C/RBBP4/RSF1/ZNF827/RRN3/SMARCA5/CHAF1A/RAD51/H1-6/DLGAP5/H2BC21/CDC45/TAF4B/SMARCD1/TSPYL4/KAT6B/CENPV/CENPF/SET/ATAD2/POGZ/NAP1L3/CENPO/SMARCA4/H2AC25/TCF4/H3-3A/TAF5/SMARCC1/MACROH2A2
GO:0033044,regulation of chromosome organization,237,-0.48508553857524084,-2.5813860869765475,1.6337867794797556e-18,9.31880859267072e-17,5.368975501889363e-17,3498,"tags=47%, list=22%, signal=37%",ERCC4/ZWILCH/ZW10/FEN1/CUL3/CDK5RAP2/NCAPH2/KNTC1/CCT7/PINX1/NCAPG2/ARID2/SPC25/PPP1R10/CDC20/SMARCC2/SIRT1/CCNB1/SMC6/SKA1/PARP1/MAPKAPK5/RUVBL1/GNL3/SENP6/HNRNPC/CDK1/CDC6/TNKS/ARID1A/DDX11/NSMCE4A/ZWINT/HNRNPA1/TEX14/ARID1B/PLK1/SMC4/HNRNPU/MAD2L1BP/SMARCB1/ACTL6A/GEN1/YLPM1/CENPE/SMARCE1/SLX4/ACTR8/EXOSC10/ANAPC5/ZNF207/NDC80/TRIP13/MRE11/USP7/BIRC5/NUF2/SKA3/WRAP53/UBE2C/BUB1/NCAPD3/SMARCA5/NCAPG/BUB3/PIF1/FBXO5/MAD2L2/ACTR5/DLGAP5/NEK2/CDCA8/MAP3K4/NCAPD2/PBRM1/SETMAR/BUB1B/INCENP/RAD21/SPC24/BRD7/SMARCD1/MAD2L1/NVL/DYNC1LI1/SMC2/CENPV/CENPF/ESPL1/CCT3/XRCC5/CCT5/TCP1/MAPT/KNL1/TTK/DHX36/AURKB/SPDL1/NCAPH/MCPH1/SMARCA4/HASPIN/USP44/H3-3A/CTCF/SFPQ/DPF1/SMARCC1/ACTL6B/BCL7A
GO:0065004,protein-DNA complex assembly,211,-0.5016006794759655,-2.6368655749068615,3.0886398945333437e-18,1.6970517732440546e-16,9.777461684481218e-17,5622,"tags=65%, list=35%, signal=43%",NAP1L2/H2BC14/SMYD3/H4C9/H4C4/TSPYL2/TAF1B/H4C2/MED28/HIRA/CABIN1/ITGB3BP/MIS12/NAP1L1/BDP1/TAF7L/TSPYL1/MED19/HMGB1/HMBOX1/H1-4/H3C8/H2BC6/H2BC13/H3C7/TAF4/RAD52/TERF1/H3C11/TBP/MIS18A/TAF3/PSMC6/MED23/H4C5/CENPT/H3C3/H2BC4/H4C1/CENPA/H2BC3/CENPK/H2BC9/H1-5/H3C1/H3C15/MED6/H4C3/ATAD2B/H3C12/H3C13/CAND1/UBTF/H3C10/H2AX/H3C2/SSRP1/H4C8/OIP5/HEY2/H4C11/H4C12/NASP/H4C14/KNTC1/SHPRH/H2BC8/KAT6A/H3C14/POLR1E/TAF11/MED30/CENPN/H1-10/CENPP/CENPC/H2BC17/H2BC7/CDT1/SART3/BAZ1A/MED27/HP1BP3/GTF2A1/H3C6/HMGB2/ASF1A/H1-2/CENPW/SENP6/BRF1/CREB1/THRA/H2BC11/SUGT1/MED24/H2BC15/MCM2/TAF2/MED20/SMARCB1/SUPT16H/CENPI/MED17/H4C15/CENPE/HJURP/DNAJC9/MCMDC2/CENPH/MED1/RAD51C/RBBP4/RSF1/ZNF827/RRN3/SMARCA5/CHAF1A/RAD51/H1-6/DLGAP5/H2BC21/CDC45/TAF4B/TSPYL4/KAT6B/CENPV/CENPF/SET/ATAD2/POGZ/NAP1L3/CENPO/SMARCA4/TCF4/H3-3A/TAF5/MACROH2A2
GO:0051983,regulation of chromosome segregation,128,-0.5822970528109058,-2.830224470612231,5.359395811257729e-18,2.815563290668644e-16,1.622169849427778e-16,3472,"tags=62%, list=21%, signal=49%",ZWILCH/ZW10/CUL3/CDK5RAP2/NCAPH2/KNTC1/NCAPG2/ARID2/SPC25/CDC20/SMARCC2/SIRT1/RAD18/CCNB1/SMC6/SKA1/PUM2/CDK1/CDC6/ARID1A/ZWINT/TEX14/ARID1B/PLK1/SMC4/HNRNPU/MAD2L1BP/SMARCB1/ACTL6A/GEN1/CENPE/SMARCE1/PPP2R2A/ANAPC5/ZNF207/NDC80/TRIP13/CSNK2A1/BIRC5/NUF2/SKA3/UBE2C/BUB1/NCAPD3/NCAPG/BUB3/FBXO5/MAD2L2/DLGAP5/CDCA8/NCAPD2/PBRM1/BUB1B/INCENP/RAD21/SPC24/BRD7/SMARCD1/MAD2L1/DYNC1LI1/SMC2/CENPF/RCC2/ESPL1/PPP2R2D/KIF2C/KNL1/TTK/AURKB/SPDL1/NCAPH/SMARCA4/HASPIN/USP44/DPF1/SMARCC1/ACTL6B/SIRT2/BCL7A
GO:0006302,double-strand break repair,316,-0.4261003548232367,-2.3369613429114664,3.3386474280924194e-17,1.6125128586165726e-15,9.290395814335274e-16,4758,"tags=50%, list=29%, signal=36%",RMI1/FOXM1/LIG4/DYRK1A/BRCA1/USP51/RAD52/NSMCE2/CREBBP/HDGFL2/NIPBL/SHLD2/VCP/MARF1/MPND/POLA1/UIMC1/CHEK2/UVRAG/TENT4A/TERF2IP/PRMT1/MDC1/XRCC4/ERCC5/ERCC6/ABL1/ZMYND8/H2AX/SETD2/NHEJ1/MTA1/PIAS4/BRD8/TIMELESS/MCM4/ERCC4/FEN1/POLL/SPIRE2/RIF1/RNF168/ARID2/KMT5C/WRN/PALB2/RFWD3/SMARCC2/FIGNL1/MAGEF1/SIRT1/SENP3/SMC6/PARP1/RUVBL1/HMGB2/ASF1A/SHLD1/ING3/RAD54B/ARID1A/DDX11/MMS22L/NSMCE4A/MEIOC/ATRIP/DCLRE1A/CHEK1/MCM2/BRCA2/ARID1B/DCLRE1C/PLK1/SMARCB1/TOP3A/TONSL/MLH1/ACTL6A/HELLS/GEN1/RECQL4/POLB/PARPBP/REV3L/CDCA5/SMARCE1/SLX4/ACTR8/PARP2/MCMDC2/RAD51C/TRIP13/EPC2/CSNK2A1/MRE11/TDP1/WRAP53/BRME1/ERCC8/UHRF1/RAD51/MAD2L2/ACTR5/XRCC2/RADX/INIP/ATP23/ERCC6L2/FANCB/RAD51AP1/CDC45/EYA1/PBRM1/GINS2/SETMAR/FANCM/RAD21/VPS72/BRD7/REC8/SMARCD1/RAD54L/MSH2/ANKLE1/LIG3/POLQ/XRCC5/POGZ/ESCO2/UBQLN4/BRIP1/MCM8/CDC7/MCM7/NSD2/EME1/SMARCA4/TOPBP1/WDR48/EPC1/AUNIP/PELI1/ZGRF1/SMARCAD1/KMT5B/FANCD2/DNA2/KDM4D/SFPQ/DPF1/SMARCC1/ACTL6B/TOP2B/MBTD1/BCL7A/KDM1A/MAPK8
GO:0022613,ribonucleoprotein complex biogenesis,450,-0.36681608777007124,-2.0945903742768985,3.0372705773995564e-15,1.0394407707454825e-13,5.988675460280149e-14,6416,"tags=51%, list=40%, signal=31%",YBEY/DDX28/GNL2/PWP1/U2AF2/NOL8/UTP11/DDX21/SRFBP1/PA2G4/NOP14/LYAR/WDR43/RPS3A/AAR2/TENT4B/GNL3L/BRIX1/SRSF6/NHP2/PPAN/STRAP/RPL24/FSAF1/RUVBL2/SF3A2/CELF1/TMA16/MPHOSPH6/NOL10/TSR1/RPS17/RPS5/RPL38/LSM2/METTL17/DDX39B/SF3B2/UTP20/DDX51/RPS23/SDE2/TFB1M/AFG2B/NOLC1/RPL5/RPS15A/HTATSF1/RPP25/POP7/DDX17/PES1/SNRPC/SNRPB/RPUSD2/ABT1/CLNS1A/LSM4/NGRN/SART1/WDR36/ZNF658/FRG1/RBM34/RPL7/EXOSC4/PRP4K/GEMIN6/RRP9/RAN/LTO1/NOL6/BMS1/KRR1/RPP30/NOP2/C1QBP/MRTO4/EIF4B/AIRIM/ZNHIT3/PRKDC/NOP9/DKC1/SRSF1/EIF3H/NOP58/EIF3E/PRPF6/MRM3/METTL16/PRPF8/SNRNP200/RPUSD1/HEATR1/MAK16/XAB2/YTHDF2/REXO1/PRPF39/TBL3/PRMT5/DDX55/SF3B1/UTP18/UTP23/DIS3/EIF3F/WDR77/LAS1L/UTP6/CELF2/GEMIN5/CRNKL1/SURF6/FDXACB1/REXO4/TXNL4A/DROSHA/RRP15/CD2BP2/LUC7L3/RPSA/PAK1IP1/MYBBP1A/YJU2/MTERF4/GCFC2/MDN1/PRKRA/SRSF10/PDCD11/LUC7L/AGO1/SNRPD1/DDX20/AGO2/TRMT61B/EXOSC9/NOL9/AATF/HSP90AB1/NOP56/DDX49/RPL7A/WDR75/PUF60/WDR18/XPO1/PSIP1/KHDC4/RBM5/SFSWAP/PRPF3/EXOSC8/DDX10/SART3/NSUN3/EXOSC5/RUVBL1/DDX18/AFG2A/EXOSC1/PELP1/GTPBP4/EXOSC7/NOC2L/PRMT7/NGDN/RRP1B/PRPF18/NUFIP1/DDX31/YTHDC1/EIF3L/BYSL/TGS1/DCAF13/SRPK3/AGO4/AGO3/RBM10/URB2/EXOSC10/EXOSC6/BUD13/NOA1/MTREX/GREB1L/DDX46/RRN3/SF3B3/RPL7L1/WDR74/GEMIN2/DHX30/NCBP1/RCL1/SRPK2/RIOK1/EIF2A/NOL11/NVL/WDR3/BOP1/RPUSD4/EXOSC3/GEMIN4/RBFA/NOPCHAP1/XRCC5/WDR12/COIL/CELF4/DDX52/FBLL1/SRPK1/DHX9/REXO5/NLE1/SRSF12/SNRPD3/NUP88/EXOSC2/CELF5/CELF3/PTBP2/CHD7
GO:1901987,regulation of cell cycle phase transition,418,-0.3713447360396933,-2.1003937831655843,5.438676969444218e-15,1.7702302375000773e-13,1.0199075003339904e-13,3831,"tags=42%, list=24%, signal=33%",TAOK1/ERCC6/HEXIM2/RGCC/CCND2/H2AX/WDR76/ANAPC7/CTC1/GNB1L/TIMELESS/CDC14B/WAC/ZWILCH/ZW10/CUL3/MN1/NAE1/GFI1B/PLK5/CACNB4/CDK5RAP2/ERCC3/MARK3/KNTC1/PINX1/RNF168/ARID2/MDM2/STOX1/FOXO4/FBXW7/SPC25/PPP1R10/CCNH/USP28/RFWD3/CDC20/SMARCC2/CDC14C/GLI1/CCNB1/CDT1/SKA1/RRM2/CCNE2/STXBP4/CDKN1B/JADE1/ING4/GTPBP4/KCNA5/CDK1/AURKA/DOT1L/APPL1/CDC6/ARID1A/MIIP/ATRIP/ZWINT/ZNF16/CHEK1/BRCA2/TEX14/ARID1B/PLK1/FAM83D/CDC5L/KMT2E/SOX2/SASS6/MAD2L1BP/SMARCB1/PBX1/ACTL6A/E2F1/GEN1/STIL/CENPE/APBB1/TTI1/SMARCE1/ANAPC5/RBL1/RAD51C/ZNF207/NDC80/TRIP13/RNASEH2B/CSNK2A1/MRE11/BIRC5/NUF2/SKA3/DBF4/CDKN1C/PROX1/CLSPN/HINFP/UBE2C/BUB1/CPSF3/EZH2/CEP63/RAD51/BUB3/FBXO5/MAD2L2/DLGAP5/MTA3/INIP/CDCA8/TTI2/CDC45/PBRM1/RAD1/KCNH5/SETMAR/BUB1B/DBF4B/INCENP/CCND1/RAD21/CDKN2D/UBE2E2/SPC24/BRD7/SMARCD1/PKIA/MAD2L1/DYNC1LI1/KIF14/MSH2/CENPF/RCC2/ESPL1/CTDSP2/KNL1/BRIP1/TTK/DTL/AURKB/ORC1/CDC25C/CDC7/SPDL1/TFAP4/LSM11/PKMYT1/PDIK1L/EME1/SMARCA4/HASPIN/TOPBP1/MNAT1/USP44/INTS7/TICRR/BRSK1/MYO16/ATAD5/NPM2/SENP2/FANCD2/DNA2/DPF1/SMARCC1/ACTL6B/CAMSAP3/PLCB1/CDC25A/SIRT2/CPAP/APBB2/CDK4/BCL7A
GO:0006260,DNA replication,274,-0.4286937324723378,-2.318390028957374,8.342392991020162e-15,2.657584660809561e-13,1.5311514123496132e-13,3617,"tags=40%, list=22%, signal=31%",SSRP1/CTC1/ORC4/POLD1/TIMELESS/MCM4/FEN1/POLL/ING5/RFC5/LIG1/NASP/REV1/WRN/ASCC1/WDR18/DSCC1/RFWD3/GLI1/CDT1/BAZ1A/PARP1/RBBP6/CCNE2/CDKN1B/RUVBL1/CDC34/ASF1A/JADE1/GTPBP4/CDK1/POLE2/CDC6/POLG2/DDX11/MMS22L/GINS3/WDHD1/CHEK1/MCM2/BRCA2/WRNIP1/HLTF/TONSL/ACTL6A/KIN/GEN1/POLE/SUPT16H/RECQL4/POLB/GINS1/ZRANB3/REV3L/SLX4/ACTR8/RBBP4/MRE11/DBF4/PTK6/SMC3/SMARCA5/CHAF1A/RAD51/EHMT2/RFC4/FBXO5/ACTR5/DACH1/OBI1/CDC45/GINS2/SETMAR/FANCM/DBF4B/CCNA2/LIG3/POLQ/SET/ESCO2/PRIM1/DTL/RFC3/MCM8/ORC1/CDC7/MCM7/ORC6/DTD1/EME1/CHTF18/TOPBP1/PRIM2/TICRR/EXO1/DHX9/ATAD5/NPM2/SENP2/TRAIP/TWNK/DNA2/MCM10/CAMSAP3/TTF1/KAT7/CDC25A/NFIB/JADE3
